iata_code,icao_code,airport_name,city,state,latitude,longitude
ATL,KATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.6407,-84.4277
DEN,KDEN,Denver International,Denver,CO,39.8561,-104.6737
DFW,KDFW,Dallas/Fort Worth International,Dallas-Fort Worth,TX,32.8998,-97.0403
JFK,KJFK,John F Kennedy International,New York,NY,40.6413,-73.7781
LAX,KLAX,Los Angeles International,Los Angeles,CA,33.9425,-118.4081
MIA,KMIA,Miami International,Miami,FL,25.7959,-80.2870
ORD,KORD,Chicago O'Hare International,Chicago,IL,41.9742,-87.9073
SEA,KSEA,Seattle-Tacoma International,Seattle,WA,47.4502,-122.3088
BOS,KBOS,General Edward Lawrence Logan International,Boston,MA,42.3656,-71.0096
MSP,KMSP,Minneapolis-Saint Paul International,Minneapolis,MN,44.8848,-93.2223
LAS,KLAS,Harry Reid International,Las Vegas,NV,36.0840,-115.1537
